host PCI devices:
====================================================
0000:00:00.0	Intel Corporation   	Gemini Lake Host Bridge                 
0000:00:00.1	Intel Corporation   	Celeron/Pentium Silver Processor Dyna...
0000:00:00.3	Intel Corporation   	Celeron/Pentium Silver Processor Gaus...
0000:00:02.0	Intel Corporation   	GeminiLake [UHD Graphics 600]           
0000:00:0e.0	Intel Corporation   	Celeron/Pentium Silver Processor High...
0000:00:0f.0	Intel Corporation   	Celeron/Pentium Silver Processor Trus...
0000:00:12.0	Intel Corporation   	Celeron/Pentium Silver Processor SATA...
0000:00:14.0	Intel Corporation   	Gemini Lake PCI Express Root Port       
0000:00:14.1	Intel Corporation   	Gemini Lake PCI Express Root Port       
0000:00:15.0	Intel Corporation   	Celeron/Pentium Silver Processor USB ...
0000:00:1f.0	Intel Corporation   	Celeron/Pentium Silver Processor LPC ...
0000:00:1f.1	Intel Corporation   	Celeron/Pentium Silver Processor Gaus...
0000:01:00.0	Realtek Semicondu...	RTL8111/8168/8411 PCI Express Gigabit...
0000:02:00.0	Realtek Semicondu...	RTL8821CE 802.11ac PCIe Wireless Netw...
